word	prediction	gold_label
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
but	NEUTRAL	NEUTRAL
,	NEGATIVE	NEUTRAL
tell	NEGATIVE	NEUTRAL
me	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
what	NEUTRAL	NEUTRAL
do	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
make	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
our	NEUTRAL	NEUTRAL
visitor	NEGATIVE	NEUTRAL
' s	NEGATIVE	NEUTRAL
stick	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
since	NEUTRAL	NEUTRAL
we	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
been	NEGATIVE	NEUTRAL
so	NEGATIVE	NEUTRAL
unfortunate	NEUTRAL	NEGATIVE
as	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
miss	NEGATIVE	NEUTRAL
him	NEUTRAL	NEUTRAL
and	NEGATIVE	NEUTRAL
have	NEUTRAL	NEUTRAL
no	NEUTRAL	NEUTRAL
notion	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
errand	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
this	NEUTRAL	NEUTRAL
accidental	NEGATIVE	NEUTRAL
souvenir	NEGATIVE	NEUTRAL
becomes	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
importance	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
let	NEGATIVE	NEUTRAL
me	NEUTRAL	NEUTRAL
hear	NEGATIVE	NEUTRAL
you	NEGATIVE	NEUTRAL
reconstruct	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
man	NEGATIVE	NEUTRAL
by	NEGATIVE	NEUTRAL
an	NEGATIVE	NEUTRAL
examination	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
think	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
following	NEUTRAL	NEUTRAL
so	NEUTRAL	NEUTRAL
far	NEUTRAL	NEUTRAL
as	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
could	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
methods	NEGATIVE	NEUTRAL
of	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
companion	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
dr	NEUTRAL	NEUTRAL
mortimer	NEUTRAL	NEUTRAL
is	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
successful	NEGATIVE	POSITIVE
elderly	NEGATIVE	NEUTRAL
medical	NEGATIVE	NEUTRAL
man	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
well -	NEGATIVE	NEUTRAL
esteemed	NEGATIVE	POSITIVE
,	NEUTRAL	NEUTRAL
since	NEUTRAL	NEUTRAL
those	NEUTRAL	NEUTRAL
who	NEUTRAL	NEUTRAL
know	NEGATIVE	NEUTRAL
him	NEGATIVE	NEUTRAL
give	NEGATIVE	NEUTRAL
him	NEGATIVE	NEUTRAL
this	NEUTRAL	NEUTRAL
mark	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
their	NEUTRAL	NEUTRAL
appreciation	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
good	NEUTRAL	POSITIVE
!	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
holmes	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
excellent	NEGATIVE	POSITIVE
!	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
think	NEUTRAL	NEUTRAL
also	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
probability	NEUTRAL	NEUTRAL
is	NEUTRAL	NEUTRAL
in	NEUTRAL	NEUTRAL
favour	NEUTRAL	POSITIVE
of	NEUTRAL	NEUTRAL
his	NEGATIVE	NEUTRAL
being	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
country	NEGATIVE	NEUTRAL
practitioner	NEGATIVE	NEUTRAL
who	NEGATIVE	NEUTRAL
does	NEGATIVE	NEUTRAL
a	NEUTRAL	NEUTRAL
great	NEUTRAL	NEUTRAL
deal	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
visiting	NEGATIVE	NEUTRAL
on	NEGATIVE	NEUTRAL
foot	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
why	NEGATIVE	NEUTRAL
so	NEUTRAL	NEUTRAL
?	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
because	NEUTRAL	NEUTRAL
this	NEUTRAL	NEUTRAL
stick	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
though	NEUTRAL	NEUTRAL
originally	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
very	NEUTRAL	NEUTRAL
handsome	NEGATIVE	POSITIVE
one	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
has	NEUTRAL	NEUTRAL
been	NEUTRAL	NEUTRAL
so	NEGATIVE	NEUTRAL
knocked	NEUTRAL	NEUTRAL
about	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
can	NEUTRAL	NEUTRAL
hardly	NEUTRAL	NEUTRAL
imagine	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
town	NEUTRAL	NEUTRAL
practitioner	NEUTRAL	NEUTRAL
carrying	NEUTRAL	NEUTRAL
it	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
thick	NEGATIVE	NEUTRAL
iron	NEGATIVE	NEUTRAL
ferrule	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
worn	NEUTRAL	NEGATIVE
down	NEUTRAL	NEGATIVE
,	NEUTRAL	NEUTRAL
so	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
evident	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
he	NEGATIVE	NEUTRAL
has	NEUTRAL	NEUTRAL
done	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
great	NEUTRAL	NEUTRAL
amount	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
walking	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
perfectly	NEGATIVE	POSITIVE
sound	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
holmes	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
then	NEGATIVE	NEUTRAL
again	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
there	NEGATIVE	NEUTRAL
is	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
` `	NEGATIVE	NEUTRAL
friends	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
cch	NEGATIVE	NEUTRAL
' '	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEGATIVE	NEUTRAL
should	NEGATIVE	NEUTRAL
guess	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
be	NEGATIVE	NEUTRAL
the	NEGATIVE	NEUTRAL
something	NEGATIVE	NEUTRAL
hunt	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
local	NEUTRAL	NEUTRAL
hunt	NEGATIVE	NEUTRAL
to	NEUTRAL	NEUTRAL
whose	NEGATIVE	NEUTRAL
members	NEUTRAL	NEUTRAL
he	NEGATIVE	NEUTRAL
has	NEUTRAL	NEUTRAL
possibly	NEUTRAL	NEUTRAL
given	NEUTRAL	NEUTRAL
some	NEUTRAL	NEUTRAL
surgical	NEGATIVE	NEUTRAL
assistance	NEUTRAL	POSITIVE
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
which	NEUTRAL	NEUTRAL
has	NEUTRAL	NEUTRAL
made	NEGATIVE	NEUTRAL
him	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
small	NEUTRAL	NEUTRAL
presentation	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
return	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
'	NEUTRAL	NEUTRAL
really	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
watson	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
excel	NEGATIVE	POSITIVE
yourself	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
holmes	NEGATIVE	NEUTRAL
,	NEGATIVE	NEUTRAL
pushing	NEUTRAL	NEUTRAL
back	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
chair	NEGATIVE	NEUTRAL
and	NEUTRAL	NEUTRAL
lighting	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
cigarette	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
am	NEUTRAL	NEUTRAL
bound	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
say	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
in	NEGATIVE	NEUTRAL
all	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
accounts	NEGATIVE	NEUTRAL
which	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
been	NEUTRAL	NEUTRAL
so	NEGATIVE	NEUTRAL
good	NEUTRAL	POSITIVE
as	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
give	NEGATIVE	NEUTRAL
of	NEGATIVE	NEUTRAL
my	NEUTRAL	NEUTRAL
own	NEGATIVE	NEUTRAL
small	NEUTRAL	NEUTRAL
achievements	NEGATIVE	POSITIVE
you	NEUTRAL	NEUTRAL
have	NEUTRAL	NEUTRAL
habitually	NEGATIVE	NEUTRAL
underrated	NEGATIVE	NEGATIVE
your	NEUTRAL	NEUTRAL
own	NEUTRAL	NEUTRAL
abilities	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
may	NEUTRAL	NEUTRAL
be	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
are	NEUTRAL	NEUTRAL
not	NEUTRAL	NEUTRAL
yourself	NEUTRAL	NEUTRAL
luminous	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
but	NEUTRAL	NEUTRAL
you	NEUTRAL	NEUTRAL
are	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
conductor	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
light	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
some	NEUTRAL	NEUTRAL
people	NEGATIVE	NEUTRAL
without	NEUTRAL	NEUTRAL
possessing	NEUTRAL	NEUTRAL
genius	NEGATIVE	POSITIVE
have	NEUTRAL	NEUTRAL
a	NEUTRAL	NEUTRAL
remarkable	NEUTRAL	POSITIVE
power	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
stimulating	NEGATIVE	POSITIVE
it	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
confess	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
dear	NEGATIVE	NEUTRAL
fellow	NEGATIVE	NEUTRAL
,	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
am	NEUTRAL	NEUTRAL
very	NEUTRAL	NEUTRAL
much	NEUTRAL	NEUTRAL
in	NEUTRAL	NEUTRAL
your	NEUTRAL	NEUTRAL
debt	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEGATIVE	NEUTRAL
he	NEGATIVE	NEUTRAL
had	NEUTRAL	NEUTRAL
never	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
as	NEUTRAL	NEUTRAL
much	NEGATIVE	NEUTRAL
before	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
must	NEUTRAL	NEUTRAL
admit	NEUTRAL	NEUTRAL
that	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
words	NEUTRAL	NEUTRAL
gave	NEUTRAL	NEUTRAL
me	NEUTRAL	NEUTRAL
keen	NEUTRAL	NEUTRAL
pleasure	NEUTRAL	POSITIVE
,	NEUTRAL	NEUTRAL
for	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
had	NEUTRAL	NEUTRAL
often	NEUTRAL	NEUTRAL
been	NEUTRAL	NEUTRAL
piqued	NEUTRAL	NEGATIVE
by	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
indifference	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
my	NEUTRAL	NEUTRAL
admiration	NEGATIVE	POSITIVE
and	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
attempts	NEUTRAL	NEUTRAL
which	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
had	NEUTRAL	NEUTRAL
made	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
give	NEGATIVE	NEUTRAL
publicity	NEGATIVE	NEUTRAL
to	NEGATIVE	NEUTRAL
his	NEUTRAL	NEUTRAL
methods	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
i	NEUTRAL	NEUTRAL
was	NEUTRAL	NEUTRAL
proud	NEUTRAL	POSITIVE
,	NEUTRAL	NEUTRAL
too	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
think	NEGATIVE	NEUTRAL
that	NEUTRAL	NEUTRAL
i	NEGATIVE	NEUTRAL
had	NEUTRAL	NEUTRAL
so	NEGATIVE	NEUTRAL
far	NEUTRAL	NEUTRAL
mastered	NEUTRAL	POSITIVE
his	NEUTRAL	NEUTRAL
system	NEGATIVE	NEUTRAL
as	NEUTRAL	NEUTRAL
to	NEGATIVE	NEUTRAL
apply	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
in	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
way	NEGATIVE	NEUTRAL
which	NEUTRAL	NEUTRAL
earned	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
approval	NEUTRAL	POSITIVE
.	NEUTRAL	NEUTRAL
he	NEGATIVE	NEUTRAL
now	NEUTRAL	NEUTRAL
took	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
stick	NEUTRAL	NEUTRAL
from	NEUTRAL	NEUTRAL
my	NEGATIVE	NEUTRAL
hands	NEGATIVE	NEUTRAL
and	NEGATIVE	NEUTRAL
examined	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
for	NEUTRAL	NEUTRAL
a	NEGATIVE	NEUTRAL
few	NEGATIVE	NEUTRAL
minutes	NEGATIVE	NEUTRAL
with	NEGATIVE	NEUTRAL
his	NEGATIVE	NEUTRAL
naked	NEGATIVE	NEUTRAL
eyes	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
then	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
with	NEUTRAL	NEUTRAL
an	NEUTRAL	NEUTRAL
expression	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
interest	NEUTRAL	POSITIVE
,	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
laid	NEUTRAL	NEUTRAL
down	NEGATIVE	NEUTRAL
his	NEUTRAL	NEUTRAL
cigarette	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
and	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
carrying	NEUTRAL	NEUTRAL
the	NEGATIVE	NEUTRAL
cane	NEGATIVE	NEUTRAL
to	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
window	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
looked	NEUTRAL	NEUTRAL
over	NEGATIVE	NEUTRAL
it	NEGATIVE	NEUTRAL
again	NEUTRAL	NEUTRAL
with	NEGATIVE	NEUTRAL
a	NEGATIVE	NEUTRAL
convex	NEGATIVE	NEUTRAL
lens	NEGATIVE	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
interesting	NEGATIVE	POSITIVE
,	NEUTRAL	NEUTRAL
though	NEUTRAL	NEUTRAL
elementary	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
said	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
,	NEUTRAL	NEUTRAL
as	NEUTRAL	NEUTRAL
he	NEUTRAL	NEUTRAL
returned	NEUTRAL	NEUTRAL
to	NEUTRAL	NEUTRAL
his	NEUTRAL	NEUTRAL
favourite	NEUTRAL	POSITIVE
corner	NEUTRAL	NEUTRAL
of	NEUTRAL	NEUTRAL
the	NEUTRAL	NEUTRAL
settee	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
'	NEUTRAL	NEUTRAL
there	NEUTRAL	NEUTRAL
are	NEUTRAL	NEUTRAL
certainly	NEUTRAL	NEUTRAL
one	NEUTRAL	NEUTRAL
or	NEUTRAL	NEUTRAL
two	NEUTRAL	NEUTRAL
indications	NEUTRAL	NEUTRAL
upon	NEGATIVE	NEUTRAL
the	NEUTRAL	NEUTRAL
stick	NEUTRAL	NEUTRAL
.	NEUTRAL	NEUTRAL
it	NEGATIVE	NEUTRAL
